dataset,sample_id,decision,risk_score,poisoned,reasons
clean_subset,classification/train/4/train_00016.png,REVIEW,0.6664,False,embedding is 4.7 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/9/train_00118.png,REVIEW,0.7349,False,9 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 22% confidence to the candidate label; embedding is 2.8 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/3/train_00231.png,QUARANTINE,0.9555,False,15 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 9% confidence to the candidate label; embedding is 2.9 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/7/train_00282.png,REVIEW,0.6655,False,cross-validated classifier assigns only 18% confidence to the candidate label; embedding is 2.2 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/4/train_00293.png,QUARANTINE,0.8166,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 18% confidence to the candidate label; embedding is 2.1 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/5/train_00436.png,REVIEW,0.698,False,10 of 15 nearest neighbours have a different candidate label; embedding is 2.4 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/4/train_00544.png,QUARANTINE,0.8379,False,11 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 14% confidence to the candidate label; embedding is 3.5 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/7/train_00801.png,QUARANTINE,0.7995,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 24% confidence to the candidate label; embedding is 2.2 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/5/train_00867.png,QUARANTINE,0.8947,False,14 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 12% confidence to the candidate label; embedding is 2.5 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/3/train_00967.png,QUARANTINE,0.8267,False,14 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 14% confidence to the candidate label; embedding is 1.6 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/3/train_00970.png,QUARANTINE,0.7953,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 17% confidence to the candidate label; embedding is 1.8 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/3/train_01078.png,REVIEW,0.7353,False,15 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 16% confidence to the candidate label
clean_subset,classification/train/3/train_01146.png,QUARANTINE,0.864,False,15 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 13% confidence to the candidate label; embedding is 1.8 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/7/train_01211.png,REVIEW,0.636,False,embedding is 3.7 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/1/train_01427.png,REVIEW,0.6839,False,11 of 15 nearest neighbours have a different candidate label; embedding is 2.4 standard deviations farther from its candidate-class centroid than typical
