dataset,sample_id,decision,risk_score,poisoned,reasons
clean_subset,classification/train/0/00002.jpg,REVIEW,0.6738,False,12 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 16% confidence to the candidate label
clean_subset,classification/train/0/00005.jpg,QUARANTINE,0.856,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 8% confidence to the candidate label; embedding is 2.1 standard deviations farther from its candidate-class centroid than typical
clean_subset,classification/train/0/00011.jpg,REVIEW,0.6573,False,12 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 16% confidence to the candidate label
clean_subset,classification/train/0/00041.jpg,REVIEW,0.6289,False,11 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 16% confidence to the candidate label
clean_subset,classification/train/0/00060.jpg,REVIEW,0.706,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 10% confidence to the candidate label
clean_subset,classification/train/0/00086.jpg,QUARANTINE,0.8225,False,14 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 4% confidence to the candidate label
clean_subset,classification/train/0/00096.jpg,REVIEW,0.6368,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 27% confidence to the candidate label
clean_subset,classification/train/0/00129.jpg,REVIEW,0.7128,False,13 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 8% confidence to the candidate label
clean_subset,classification/train/0/00160.jpg,QUARANTINE,0.7559,False,15 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 11% confidence to the candidate label
clean_subset,classification/train/0/00201.jpg,REVIEW,0.724,False,12 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 10% confidence to the candidate label
clean_subset,classification/train/0/00203.jpg,REVIEW,0.6293,False,11 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 16% confidence to the candidate label
clean_subset,classification/train/0/00206.jpg,REVIEW,0.6465,False,11 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 12% confidence to the candidate label
clean_subset,classification/train/0/00221.jpg,REVIEW,0.7208,False,10 of 15 nearest neighbours have a different candidate label; cross-validated classifier assigns only 10% confidence to the candidate label
